               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053718,            0.013828,            0.055496,           0.0094807,             0.91667,            0.059863,            0.018219,            0.038203,            0.011039,            0.048276,              0.0748,              0.0028,              0.0028
                   1,            0.035396,            0.012012,            0.047352,             0.22027,             0.37917,             0.14492,            0.056979,            0.041121,            0.006181,            0.041676,            0.048689,           0.0056887,           0.0056887
                   2,            0.040905,           0.0086582,            0.044742,             0.23146,             0.34375,               0.206,            0.085413,            0.037927,           0.0057345,            0.037934,            0.022566,           0.0085659,           0.0085659
                   3,            0.035953,           0.0079602,            0.041655,             0.26719,             0.28542,             0.23229,             0.16921,             0.03701,           0.0056042,            0.035433,           0.0099406,           0.0099406,           0.0099406
                   4,            0.033936,           0.0070947,            0.040997,             0.14021,             0.54096,             0.31759,            0.099005,            0.039243,           0.0053194,            0.036452,           0.0099406,           0.0099406,           0.0099406
                   5,            0.030679,           0.0063644,            0.034383,             0.36115,             0.53575,              0.4862,             0.27096,            0.025275,           0.0048317,            0.030394,           0.0099208,           0.0099208,           0.0099208
                   6,            0.028667,           0.0058784,            0.032853,               0.514,             0.49347,             0.58702,             0.34481,            0.022813,           0.0043551,            0.025618,            0.009901,            0.009901,            0.009901
                   7,            0.025634,            0.005322,            0.027501,             0.42939,             0.80417,             0.66618,             0.32674,            0.030465,           0.0036434,             0.02233,           0.0098812,           0.0098812,           0.0098812
                   8,            0.025171,           0.0048153,            0.024486,             0.52628,             0.82816,              0.7925,              0.5128,            0.028357,           0.0034603,            0.018131,           0.0098614,           0.0098614,           0.0098614
                   9,            0.025596,           0.0046042,            0.023235,             0.67928,             0.80971,             0.77508,             0.47047,            0.029397,           0.0033509,            0.014479,           0.0098416,           0.0098416,           0.0098416
                  10,            0.023373,           0.0042293,            0.018744,             0.56815,             0.91752,             0.86383,             0.60407,            0.025832,           0.0030188,            0.012691,           0.0098218,           0.0098218,           0.0098218
                  11,            0.024635,           0.0041751,            0.018313,             0.51534,             0.94375,              0.8698,             0.63788,            0.023413,           0.0029709,            0.010955,            0.009802,            0.009802,            0.009802
                  12,            0.022639,           0.0038573,            0.013807,             0.74493,             0.93629,             0.98308,             0.71784,            0.026256,           0.0029702,           0.0090988,           0.0097822,           0.0097822,           0.0097822
                  13,            0.023152,           0.0039983,            0.013816,             0.86267,             0.98036,             0.98617,             0.78641,            0.019468,            0.002989,           0.0077655,           0.0097624,           0.0097624,           0.0097624
                  14,            0.023834,           0.0036941,            0.014162,             0.69935,              0.9675,             0.94313,             0.64864,            0.027091,           0.0028786,           0.0076277,           0.0097426,           0.0097426,           0.0097426
                  15,            0.021611,            0.003565,            0.010622,             0.79993,             0.98966,             0.97368,             0.77254,             0.01681,           0.0030092,           0.0066961,           0.0097228,           0.0097228,           0.0097228
                  16,            0.021737,           0.0035644,           0.0092639,             0.70778,             0.97538,             0.97694,             0.78997,            0.021806,           0.0026769,           0.0060042,            0.009703,            0.009703,            0.009703
                  17,            0.022289,           0.0035158,            0.009375,             0.80292,             0.99792,             0.98143,             0.81355,            0.018946,           0.0026386,           0.0048097,           0.0096832,           0.0096832,           0.0096832
                  18,            0.021206,            0.003346,           0.0082652,             0.87877,              0.9946,             0.98464,             0.78151,            0.021283,           0.0026987,           0.0044095,           0.0096634,           0.0096634,           0.0096634
                  19,            0.019975,           0.0033191,           0.0076279,             0.90063,             0.98048,             0.98106,             0.74485,            0.023528,           0.0025918,           0.0042683,           0.0096436,           0.0096436,           0.0096436
                  20,            0.021712,           0.0032661,           0.0094998,             0.88494,             0.89769,             0.98814,             0.79652,              0.0206,           0.0025761,            0.006852,           0.0096238,           0.0096238,           0.0096238
                  21,            0.019888,           0.0031504,            0.008521,             0.99491,             0.99834,               0.995,             0.80635,            0.017519,            0.002509,           0.0037925,            0.009604,            0.009604,            0.009604
                  22,            0.018881,            0.003111,           0.0083045,             0.99492,              0.9836,             0.99496,             0.77216,            0.016223,           0.0024553,           0.0038249,           0.0095842,           0.0095842,           0.0095842
